id;entity;currency;alphabetic_code;numeric_code;minor_unit;symbol;activated
1;AFGHANISTAN;Afghani;AFN;971;2;;false
2;ALAND ISLANDS;Euro;EUR;978;2;€;false
3;ALBANIA;Lek;ALL;8;2;;false
4;ALGERIA;Algerian Dinar;DZD;12;2;;false
5;AMERICAN SAMOA;US Dollar;USD;840;2;$;false
6;ANDORRA;Euro;EUR;978;2;€;false
7;ANGOLA;Kwanza;AOA;973;2;;false
8;ANGUILLA;East Caribbean Dollar;XCD;951;2;$;false
9;ANTIGUA AND BARBUDA;East Caribbean Dollar;XCD;951;2;$;false
10;ARGENTINA;Argentine Peso;ARS;32;2;;false
11;ARMENIA;Armenian Dram;AMD;51;2;;false
12;ARUBA;Aruban Florin;AWG;533;2;;false
13;AUSTRALIA;Australian Dollar;AUD;36;2;$;false
14;AUSTRIA;Euro;EUR;978;2;€;false
15;AZERBAIJAN;Azerbaijanian Manat;AZN;944;2;;false
16;BAHAMAS (THE);Bahamian Dollar;BSD;44;2;$;false
17;BAHRAIN;Bahraini Dinar;BHD;48;3;;false
18;BANGLADESH;Taka;BDT;50;2;;false
19;BARBADOS;Barbados Dollar;BBD;52;2;$;false
20;BELARUS;Belarusian Ruble;BYN;933;2;;false
21;BELGIUM;Euro;EUR;978;2;€;false
22;BELIZE;Belize Dollar;BZD;84;2;$;false
23;BENIN;CFA Franc BCEAO;XOF;952;0;;false
24;BERMUDA;Bermudian Dollar;BMD;60;2;$;false
25;BHUTAN;Indian Rupee;INR;356;2;;false
26;BHUTAN;Ngultrum;BTN;64;2;;false
27;BOLIVIA (PLURINATIONAL STATE OF);Boliviano;BOB;68;2;;false
28;BOLIVIA (PLURINATIONAL STATE OF);Mvdol;BOV;984;2;;false
29;BOSNIA AND HERZEGOVINA;Convertible Mark;BAM;977;2;;false
30;BOTSWANA;Pula;BWP;72;2;;false
31;BOUVET ISLAND;Norwegian Krone;NOK;578;2;;false
32;BRAZIL;Brazilian Real;BRL;986;2;;false
33;BRITISH INDIAN OCEAN TERRITORY (THE);US Dollar;USD;840;2;$;false
34;BRUNEI DARUSSALAM;Brunei Dollar;BND;96;2;$;false
35;BULGARIA;Bulgarian Lev;BGN;975;2;;false
36;BURKINA FASO;CFA Franc BCEAO;XOF;952;0;;false
37;BURUNDI;Burundi Franc;BIF;108;0;;false
38;CABO VERDE;Cabo Verde Escudo;CVE;132;2;;false
39;CAMBODIA;Riel;KHR;116;2;;false
40;CAMEROON;CFA Franc BEAC;XAF;950;0;;false
41;CANADA;Canadian Dollar;CAD;124;2;$;false
42;CAYMAN ISLANDS (THE);Cayman Islands Dollar;KYD;136;2;$;false
43;CENTRAL AFRICAN REPUBLIC (THE);CFA Franc BEAC;XAF;950;0;;false
44;CHAD;CFA Franc BEAC;XAF;950;0;;false
45;CHILE;Chilean Peso;CLP;152;0;;false
46;CHILE;Unidad de Fomento;CLF;990;4;;false
47;CHINA;Yuan Renminbi;CNY;156;2;;false
48;CHRISTMAS ISLAND;Australian Dollar;AUD;36;2;$;false
49;COCOS (KEELING) ISLANDS (THE);Australian Dollar;AUD;36;2;$;false
50;COLOMBIA;Colombian Peso;COP;170;2;;false
51;COLOMBIA;Unidad de Valor Real;COU;970;2;;false
52;COMOROS (THE);Comoro Franc;KMF;174;0;;false
53;CONGO (THE DEMOCRATIC REPUBLIC OF THE);Congolese Franc;CDF;976;2;;false
54;CONGO (THE);CFA Franc BEAC;XAF;950;0;;false
55;COOK ISLANDS (THE);New Zealand Dollar;NZD;554;2;$;false
56;COSTA RICA;Costa Rican Colon;CRC;188;2;;false
57;CÔTE D'IVOIRE;CFA Franc BCEAO;XOF;952;0;;false
58;CROATIA;Kuna;HRK;191;2;;false
59;CUBA;Cuban Peso;CUP;192;2;;false
60;CUBA;Peso Convertible;CUC;931;2;;false
61;CURAÇAO;Netherlands Antillean Guilder;ANG;532;2;;false
62;CYPRUS;Euro;EUR;978;2;€;false
63;CZECH REPUBLIC (THE);Czech Koruna;CZK;203;2;;false
64;DENMARK;Danish Krone;DKK;208;2;;false
65;DJIBOUTI;Djibouti Franc;DJF;262;0;;false
66;DOMINICA;East Caribbean Dollar;XCD;951;2;$;false
67;DOMINICAN REPUBLIC (THE);Dominican Peso;DOP;214;2;;false
68;ECUADOR;US Dollar;USD;840;2;$;false
69;EGYPT;Egyptian Pound;EGP;818;2;£;false
70;EL SALVADOR;El Salvador Colon;SVC;222;2;;false
71;EL SALVADOR;US Dollar;USD;840;2;$;false
72;EQUATORIAL GUINEA;CFA Franc BEAC;XAF;950;0;;false
73;ERITREA;Nakfa;ERN;232;2;;false
74;ESTONIA;Euro;EUR;978;2;€;false
75;ETHIOPIA;Ethiopian Birr;ETB;230;2;;false
76;EUROPEAN UNION;Euro;EUR;978;2;€;true
77;FALKLAND ISLANDS (THE) [MALVINAS];Falkland Islands Pound;FKP;238;2;£;false
78;FAROE ISLANDS (THE);Danish Krone;DKK;208;2;;false
79;FIJI;Fiji Dollar;FJD;242;2;$;false
80;FINLAND;Euro;EUR;978;2;€;false
81;FRANCE;Euro;EUR;978;2;€;false
82;FRENCH GUIANA;Euro;EUR;978;2;€;false
83;FRENCH POLYNESIA;CFP Franc;XPF;953;0;;false
84;FRENCH SOUTHERN TERRITORIES (THE);Euro;EUR;978;2;€;false
85;GABON;CFA Franc BEAC;XAF;950;0;;false
86;GAMBIA (THE);Dalasi;GMD;270;2;;false
87;GEORGIA;Lari;GEL;981;2;;false
88;GERMANY;Euro;EUR;978;2;€;false
89;GHANA;Ghana Cedi;GHS;936;2;;false
90;GIBRALTAR;Gibraltar Pound;GIP;292;2;£;false
91;GREECE;Euro;EUR;978;2;€;false
